,index,imdb_rating,imdb_total_votes,title,release_year,original_language,overview,budget,genres,release_date,revenue,runtime,spoken_languages,tmdb_rating,tmdb_total_votes,production_companies,production_countries,Watched,directors,writers,name_year,Date,Name,Year,Letterboxd URI,my_rating
0,0,6.4,500429,The Hangover Part II,2011,en,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",80000000.0,['Comedy'],2011-05-25,586764305.0,102.0,"['en', ' th']",6.5,9209.0,"['Warner Bros. Pictures', ' Legendary Pictures', ' Green Hat Films']",['US'],1,Todd Phillips,,The Hangover Part II 2011,2021-09-07,The Hangover Part II,2011.0,https://boxd.it/PZI,6.0
1,1,6.2,51753,Diary of a Wimpy Kid,2010,en,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",15000000.0,"['Comedy', ' Family']",2010-03-19,76196538.0,92.0,['en'],6.218,1321.0,"['Dune Entertainment', ' Color Force', ' Dayday Films']","['GB', ' US']",1,Thor Freudenthal,,Diary of a Wimpy Kid 2010,2021-09-07,Diary of a Wimpy Kid,2010.0,https://boxd.it/1fUa,5.0
2,2,7.7,783473,The Hangover,2009,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",35000000.0,['Comedy'],2009-06-02,469310836.0,100.0,['en'],7.305,14923.0,"['Warner Bros. Pictures', ' Legendary Pictures', ' Green Hat Films']","['DE', ' US']",1,Todd Phillips,,The Hangover 2009,2022-09-27,The Hangover,2009.0,https://boxd.it/1GjK,6.0
3,3,7.5,61193,The Player,1992,en,A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,8000000.0,"['Comedy', ' Crime', ' Drama', ' Mystery']",1992-04-03,21706101.0,124.0,['en'],7.2,619.0,"['Fine Line Features', ' Avenue Pictures', ' Spelling Entertainment', ' Addis Wechsler Pictures']",['US'],1,Robert Altman,Michael Tolkin,The Player 1992,2021-09-07,The Player,1992.0,https://boxd.it/1WlM,8.0
4,4,6.6,21719,Fermat's Room,2007,es,Four mathematicians who do not know each other are invited by a mysterious host on the pretext of resolving a great enigma. The room in which they find themselves turns out to be a shrinking room that will crush them if they do not discover in time what connects them all and why someone might wish to murder them.,0.0,"['Mystery', ' Thriller']",2007-10-07,0.0,88.0,['es'],6.609,298.0,"['BocaBoca Producciones', ' Notro Films']",['ES'],1,,,Fermat's Room 2007,2021-09-07,Fermat's Room,2007.0,https://boxd.it/22Ue,6.0
5,5,7.6,263219,Enemy at the Gates,2001,en,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad in WWII.,68000000.0,"['Drama', ' War', ' History']",2001-03-14,96976270.0,131.0,"['de', ' en', ' ru']",7.39,2971.0,"['Paramount', ' Little Bird', ' Mandalay Pictures', ' KC Medien', ' Reperage', ' DOS', ' MP Film Management']","['IE', ' US', ' DE', ' GB']",1,Jean-Jacques Annaud,,Enemy at the Gates 2001,2021-09-07,Enemy at the Gates,2001.0,https://boxd.it/29s2,7.0
6,6,8.1,87513,The Celebration,1998,da,"A grandiose party to celebrate a sixtieth birthday unleashes a family drama with all the lies that conceal horrendous secrets. The eldest son, Christian, stages a showdown with the popular pater familias; his provocative, moving after-dinner speech dislodges all the masks, which finally fall completely as the father-son conflict intensifies and the bewildered guests look on.",1300000.0,['Drama'],1998-06-19,0.0,105.0,"['da', ' de', ' en']",7.742,792.0,"['DR', ' Nimbus Film', ' SVT']","['DK', ' SE']",1,Thomas Vinterberg,,The Celebration 1998,2021-09-07,The Celebration,1998.0,https://boxd.it/2aCM,8.0
7,7,8.3,652270,Heat,1995,en,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,60000000.0,"['Action', ' Crime', ' Drama', ' Thriller']",1995-12-15,187436818.0,170.0,"['en', ' es']",7.9,5846.0,"['Warner Bros. Pictures', ' New Regency Productions', ' Regency Enterprises', ' Forward Pass', ' Monarchy Enterprises B.V.', ' The Linson Company']",['US'],1,Michael Mann,Michael Mann,Heat 1995,2022-09-29,Heat,1995.0,https://boxd.it/2bg8,9.0
8,8,7.3,124279,Good Time,2017,en,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",0.0,"['Thriller', ' Crime']",2017-08-11,3283369.0,102.0,['en'],7.204,2395.0,"['Rhea Films', ' Elara Pictures']",['US'],1,,,Good Time 2017,2021-09-07,Good Time,2017.0,https://boxd.it/fcFu,8.0
9,9,6.3,62012,Guns Akimbo,2019,en,"An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",0.0,"['Comedy', ' Action']",2020-02-27,835102.0,95.0,['en'],6.458,1854.0,"['FilmFernsehFonds Bayern', ' Ingenious Media', ' New Zealand Film Commission', ' Four Knights Film', ' uMedia', ' WS Filmproduktion', ' Altitude Film Entertainment', ' Occupant Entertainment', ' Deutscher Filmförderfonds', ' Hyperion Media Group', ' The Electric Shadow Company', ' Cutting Edge', ' Saban Films', ' Maze Pictures', ' Pump Metal Films']","['DE', ' NZ', ' GB']",1,Jason Howden,Jason Howden,Guns Akimbo 2019,2021-09-07,Guns Akimbo,2019.0,https://boxd.it/gkFu,5.0
10,10,7.4,247427,Nobody,2021,en,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",17000000.0,"['Action', ' Crime', ' Thriller']",2021-03-18,61779301.0,92.0,"['en', ' ru', ' es']",8.122,5192.0,"['Odenkirk Provissiero Entertainment', ' 87North Productions', ' Eighty Two Films']",['US'],1,Ilya Naishuller,Derek Kolstad,Nobody 2021,2022-05-21,Nobody,2021.0,https://boxd.it/mLqS,7.0
11,11,7.5,50659,Riders of Justice,2020,da,"Markus returns home to care for his daughter when his wife dies in a tragic train accident. However, when a survivor of the wreck surfaces and claims foul play, Markus suspects his wife was murdered and embarks on a mission to find those responsible.",5300000.0,"['Action', ' Comedy', ' Drama']",2020-11-19,679505.0,116.0,"['ar', ' da', ' et']",7.273,530.0,"['Zentropa Entertainments', ' Film i Väst', ' Zentropa International Sweden']","['DK', ' SE']",1,Anders Thomas Jensen,,Riders of Justice 2020,2021-09-07,Riders of Justice,2020.0,https://boxd.it/oHQc,8.0
12,12,7.0,19135,The Kid Detective,2020,en,"A once-celebrated kid detective, now 31, continues to solve the same trivial mysteries between hangovers and bouts of self-pity. Until a naive client brings him his first 'adult' case, to find out who brutally murdered her boyfriend.",0.0,"['Comedy', ' Drama', ' Mystery']",2020-10-16,0.0,99.0,['en'],6.592,267.0,"['Woods Entertainment', ' JoBro Productions', ' levelFILM']",['CA'],1,Evan Morgan,Evan Morgan,The Kid Detective 2020,2022-05-21,The Kid Detective,2020.0,https://boxd.it/r0qm,5.0
13,13,7.7,515182,(500) Days of Summer,2009,en,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",7500000.0,"['Comedy', ' Drama', ' Romance']",2009-07-17,60781545.0,95.0,"['en', ' fr', ' sv']",7.26,8700.0,"['Fox Searchlight Pictures', ' Watermark Pictures', ' Dune Entertainment III']",['US'],1,Marc Webb,,(500) Days of Summer 2009,2022-09-27,(500) Days of Summer,2009.0,https://boxd.it/1EmM,6.0
