,imdb_rating,imdb_total_votes,title,release_year,original_language,overview,budget,genres,release_date,revenue,runtime,spoken_languages,tmdb_rating,tmdb_total_votes,production_companies,production_countries,Watched,directors,writers
0,8.1,60549,The Battle of Algiers,1966,it,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,800000.0,"['Drama', ' War', ' History']",1966-09-08,964028.0,121.0,"['en', ' ar', ' fr']",7.9,560.0,"['Igor Film', ' Casbah Film']","['IT', ' DZ']",0,Gillo Pontecorvo,
1,7.7,543920,Ex Machina,2014,en,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",15000000.0,"['Drama', ' Science Fiction']",2015-01-21,36869414.0,108.0,['en'],7.568,11649.0,"['DNA Films', ' Universal Pictures International (UPI)', ' Film4 Productions', ' IAC Films']","['GB', ' US']",0,Alex Garland,Alex Garland
2,7.7,73525,Badlands,1973,en,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,450000.0,"['Drama', ' Crime']",1973-10-15,0.0,94.0,"['en', ' fr']",7.567,959.0,"['Warner Bros. Pictures', ' Pressman-Williams', ' Jill Jakes Production', ' Badlands Company']",['US'],0,Terrence Malick,Terrence Malick
3,7.0,46585,Holy Motors,2012,fr,"We follow 24 hours in the life of a being moving from life to life like a cold and solitary assassin moving from hit to hit. In each of these interwoven lives, the being possesses an entirely distinct identity: sometimes a man, sometimes a woman, sometimes youthful, sometimes old. By turns murderer, beggar, company chairman, monstrous creature, worker, family man.",4000000.0,"['Drama', ' Fantasy']",2012-07-02,641100.0,115.0,['fr'],7.055,953.0,"['ARTE France Cinéma', ' Canal+', ' Pandora Film', ' Angoa-Agicoa', ' CNC', ' PROCIREP', ' Medienboard Berlin-Brandenburg', ' MEDIA Programme of the European Union', ' Wild Bunch', ' WDR/Arte', ' La Région Île-de-France', ' Soficinéma 8', ' Pierre Grise Productions', ' Théo Films']","['BE', ' FR', ' DE']",0,Leos Carax,Leos Carax
4,7.2,213,Russian Ark,2002,en,"Making of Russian Ark, with on camera personal views by members of the cast and crew of the major film.",0.0,['Documentary'],2003-01-01,0.0,44.0,,6.9,7.0,,,0,Knut Elstermann,Knut Elstermann
5,7.8,141516,Boyz n the Hood,1991,en,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,6500000.0,"['Crime', ' Drama']",1991-07-12,57504069.0,112.0,['en'],7.587,1564.0,['Columbia Pictures'],['US'],0,John Singleton,John Singleton
6,7.7,70760,Happiness,1998,en,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.",3000000.0,"['Comedy', ' Drama']",1998-10-16,2807390.0,139.0,"['ru', ' en']",7.5,637.0,"['Killer Films', ' Good Machine']",['US'],0,Todd Solondz,Todd Solondz
7,7.2,46471,Che: Part One,2008,en,"The Argentine, begins as Che and a band of Cuban exiles (led by Fidel Castro) reach the Cuban shore from Mexico in 1956. Within two years, they mobilized popular support and an army and toppled the U.S.-friendly regime of dictator Fulgencio Batista.",30000000.0,"['Drama', ' History', ' War']",2008-09-05,0.0,134.0,"['en', ' es']",6.825,624.0,"['Section Eight', ' Wild Bunch', ' Telecinco Cinema', ' Laura Bickford Productions', ' Morena Films', ' Ministerio de Cultura', ' Guerrilla Films']","['FR', ' MX', ' ES', ' US']",0,Steven Soderbergh,
8,7.0,25665,Alphaville,1965,fr,"An American private-eye arrives in Alphaville, a futuristic city on another planet which is ruled by an evil scientist named Von Braun, who has outlawed love and self-expression.",220000.0,"['Drama', ' Science Fiction', ' Mystery']",1965-05-05,0.0,100.0,['fr'],6.9,409.0,"['Filmstudio', ' Athos Films', ' Chaumiane', ' André Michelin Productions']","['IT', ' FR']",0,Jean-Luc Godard,
9,7.9,227543,True Romance,1993,en,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",12500000.0,"['Action', ' Crime', ' Romance']",1993-09-09,12600000.0,120.0,"['en', ' it']",7.545,2232.0,"['Davis Films', ' August Entertainment', ' Morgan Creek Productions']",['US'],0,Tony Scott,
