Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-05-01,The Hangover Part II,2011,45243,The Hangover Part II,tt1411697,en,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",92.567,80000000,Comedy,http://hangoverpart2.warnerbros.com/,2011-05-25,586764305,102,"en, th",6.5,9209,"Warner Bros. Pictures, Legendary Pictures, Green Hat Films",US,"English, Thai"
2021-05-01,Diary of a Wimpy Kid,2010,33217,Diary of a Wimpy Kid,tt1196141,en,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",21.804,15000000,"Comedy, Family",http://www.fox.co.uk/diary-of-a-wimpy-kid,2010-03-19,76196538,92,en,6.218,1321,"Dune Entertainment, Color Force, Dayday Films","GB, US",English
2021-05-01,The Hangover,2009,18785,The Hangover,tt1119646,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",115.603,35000000,Comedy,https://www.warnerbros.com/movies/hangover,2009-06-02,469310836,100,en,7.305,14923,"Warner Bros. Pictures, Legendary Pictures, Green Hat Films","DE, US",English
2021-05-01,The Player,1992,10403,The Player,tt0105151,en,A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,8.694,8000000,"Comedy, Crime, Drama, Mystery",,1992-04-03,21706101,124,en,7.2,619,"Fine Line Features, Avenue Pictures, Spelling Entertainment, Addis Wechsler Pictures",US,English
2021-05-01,Fermat's Room,2007,5595,La Habitación de Fermat,tt1016301,es,Four mathematicians who do not know each other are invited by a mysterious host on the pretext of resolving a great enigma. The room in which they find themselves turns out to be a shrinking room that will crush them if they do not discover in time what connects them all and why someone might wish to murder them.,10.294,0,"Mystery, Thriller",http://www.fermatsroom.co.uk/,2007-10-07,0,88,es,6.609,298,"BocaBoca Producciones, Notro Films",ES,Spanish
2021-05-01,Enemy at the Gates,2001,853,Enemy at the Gates,tt0215750,en,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad in WWII.,33.307,68000000,"Drama, War, History",,2001-03-14,96976270,131,"de, en, ru",7.39,2971,"Paramount, Little Bird, Mandalay Pictures, KC Medien, Reperage, DOS, MP Film Management","IE, US, DE, GB","German, English, Russian"
2021-05-01,The Celebration,1998,309,Festen,tt0154420,da,"A grandiose party to celebrate a sixtieth birthday unleashes a family drama with all the lies that conceal horrendous secrets. The eldest son, Christian, stages a showdown with the popular pater familias; his provocative, moving after-dinner speech dislodges all the masks, which finally fall completely as the father-son conflict intensifies and the bewildered guests look on.",8.136,1300000,Drama,https://nimbusfilm.dk/film/festen/?lang=en,1998-06-19,0,105,"da, de, en",7.742,792,"DR, Nimbus Film, SVT","DK, SE","Danish, German, English"
2021-05-01,Heat,1995,949,Heat,tt0113277,en,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,35.123,60000000,"Action, Crime, Drama, Thriller",,1995-12-15,187436818,170,"en, es",7.9,5846,"Warner Bros. Pictures, New Regency Productions, Regency Enterprises, Forward Pass, Monarchy Enterprises B.V., The Linson Company",US,"English, Spanish"
2021-05-01,Good Time,2017,429200,Good Time,tt4846232,en,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",11.485,0,"Thriller, Crime",http://goodtime.movie/,2017-08-11,3283369,102,en,7.204,2395,"Rhea Films, Elara Pictures",US,English
2021-05-01,Guns Akimbo,2019,457335,Guns Akimbo,tt6902676,en,"An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",18.928,0,"Comedy, Action",,2020-02-27,835102,95,en,6.458,1854,"FilmFernsehFonds Bayern, Ingenious Media, New Zealand Film Commission, Four Knights Film, uMedia, WS Filmproduktion, Altitude Film Entertainment, Occupant Entertainment, Deutscher Filmförderfonds, Hyperion Media Group, The Electric Shadow Company, Cutting Edge, Saban Films, Maze Pictures, Pump Metal Films","DE, NZ, GB",English
