Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-07-26,The Battle of Algiers,1966,17295,La battaglia di Algeri,tt0058946,it,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,9.4,800000,"Drama, War, History",,1966-09-08,964028,121,"en, ar, fr",7.922,561,"Igor Film, Casbah Film","IT, DZ","English, Arabic, French"
2021-07-26,Ex Machina,2014,264660,Ex Machina,tt0470752,en,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",31.685,15000000,"Drama, Science Fiction",http://exmachina-movie.com/,2015-01-21,36869414,108,en,7.568,11649,"DNA Films, Universal Pictures International (UPI), Film4 Productions, IAC Films","GB, US",English
2021-07-26,Badlands,1973,3133,Badlands,tt0069762,en,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,11.556,450000,"Drama, Crime",,1973-10-15,0,94,"en, fr",7.566,960,"Warner Bros. Pictures, Pressman-Williams, Jill Jakes Production, Badlands Company",US,"English, French"
2021-07-26,Holy Motors,2012,103328,Holy Motors,tt2076220,fr,"We follow 24 hours in the life of a being moving from life to life like a cold and solitary assassin moving from hit to hit. In each of these interwoven lives, the being possesses an entirely distinct identity: sometimes a man, sometimes a woman, sometimes youthful, sometimes old. By turns murderer, beggar, company chairman, monstrous creature, worker, family man.",9.191,4000000,"Drama, Fantasy",,2012-07-02,641100,115,fr,7.055,953,"ARTE France Cinéma, Canal+, Pandora Film, Angoa-Agicoa, CNC, PROCIREP, Medienboard Berlin-Brandenburg, MEDIA Programme of the European Union, Wild Bunch, WDR/Arte, La Région Île-de-France, Soficinéma 8, Pierre Grise Productions, Théo Films","BE, FR, DE",French
2021-07-26,Russian Ark,2002,192221,In One Breath: Alexander Sokurov's Russian Ark,tt0428671,en,"Making of Russian Ark, with on camera personal views by members of the cast and crew of the major film.",1.4,0,Documentary,,2003-01-01,0,44,,6.9,7,,,
2021-07-26,Boyz n the Hood,1991,650,Boyz n the Hood,tt0101507,en,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,69.792,6500000,"Crime, Drama",,1991-07-12,57504069,112,en,7.6,1565,Columbia Pictures,US,English
2021-07-26,Happiness,1998,10683,Happiness,tt0147612,en,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.",11.592,3000000,"Comedy, Drama",,1998-10-16,2807390,139,"ru, en",7.501,638,"Killer Films, Good Machine",US,"Russian, English"
2021-07-26,Che: Part One,2008,8881,Che: Part One,tt0892255,en,"The Argentine, begins as Che and a band of Cuban exiles (led by Fidel Castro) reach the Cuban shore from Mexico in 1956. Within two years, they mobilized popular support and an army and toppled the U.S.-friendly regime of dictator Fulgencio Batista.",15.55,30000000,"Drama, History, War",,2008-09-05,0,134,"en, es",6.825,624,"Section Eight, Wild Bunch, Telecinco Cinema, Laura Bickford Productions, Morena Films, Ministerio de Cultura, Guerrilla Films","FR, MX, ES, US","English, Spanish"
2021-07-26,Alphaville,1965,8072,"Alphaville, une étrange aventure de Lemmy Caution",tt0058898,fr,"An American private-eye arrives in Alphaville, a futuristic city on another planet which is ruled by an evil scientist named Von Braun, who has outlawed love and self-expression.",8.792,220000,"Drama, Science Fiction, Mystery",,1965-05-05,0,100,fr,6.957,411,"Filmstudio, Athos Films, Chaumiane, André Michelin Productions","IT, FR",French
2021-07-26,Hood Movie: Is the City One Only?,2011,213223,A Cidade é Uma Só?,,,,,,,,,,,,,,,,
2021-07-26,True Romance,1993,319,True Romance,tt0108399,en,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",21.646,12500000,"Action, Crime, Romance",,1993-09-09,12600000,120,"en, it",7.545,2232,"Davis Films, August Entertainment, Morgan Creek Productions",US,"English, Italian"
2021-08-01,The Masters of Time,1982,22501,Les maîtres du temps,tt0084315,fr,"On planet Perdide, an attack of giant hornets leaves Piel – a young boy – alone in a wrecked car with his dying father. A mayday message reaches their friend Jaffar, an adventurer travelling through space. On board Jaffar’s shuttle are the renegade Prince Matton, his fiancée, and Silbad who knows the planet Perdide well. Thus begins an incredible race across space to save Piel.",6.872,0,"Animation, Drama, Science Fiction, Mystery",,1982-03-24,0,75,fr,7.479,120,"WDR, TF1 Films Production, Télécip, BBC, Hungarofilm, SRG SSR, RTS, Südwestfunk (SWF), Pannónia Filmstúdió","FR, DE, HU, CH, GB",French
2021-08-03,The Ascent,1977,50183,Восхождение,tt0075404,ru,"Two Soviet partisans leave their starving band to get supplies from a nearby farm. The Germans have reached the farm first, so the pair must go on a journey deep into occupied territory, a voyage that will also take them deep into their souls.",6.988,0,"Drama, War",,1977-04-02,0,111,"de, ru",7.886,145,"Mosfilm, Tretye Tvorcheskoe Obyedinenie",SU,"German, Russian"
2021-08-03,Shame,1968,84945,Brand of Shame,tt0131985,en,A schoolteacher arrives in town with the map to a gold mine. The lesbian dance-hall owner schemes to steal the map.,2.096,0,Western,,1968-01-01,0,73,en,4.2,6,Avis Film,"US, DE",English
2021-08-03,Wild Strawberries,1957,614,Smultronstället,tt0050986,sv,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",13.432,0,Drama,,1957-12-26,0,91,"la, sv",8.131,1329,SF Studios,SE,"Latin, Swedish"
2021-08-03,Cries and Whispers,1972,10238,Viskningar och rop,tt0069467,sv,"As Agnes slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. Maria is wracked with guilt at her husband's attempted suicide, caused by his discovery of her extramarital affair. The self-loathing, suicidal Karin seems to regard her sister with revulsion. Only Anna, the deeply religious maid who lost her young child, seems able to offer Agnes solace and empathy.",10.012,400000,Drama,,1972-12-21,0,95,sv,8.0,560,"Svenska Filminstitutet, Cinematograph AB",SE,Swedish
2021-08-18,Tokyo Fist,1995,41577,東京フィスト,tt0114690,ja,"A businessman, Tsuda, runs into a childhood friend, Tajuki, on the subway. Tajuki is working as a semiprofessional boxer. Tsuda soon begins to suspect that Tajuki might be having an affair with his fiancée Hizuru. After an altercation, Tsuda begins training rigorously himself, leading to an extremely bloody, violent confrontation.",8.339,0,"Romance, Action, Drama, Thriller",http://tsukamotoshinya.net/contents/?p=142,1995-10-21,0,87,ja,6.59,94,Kaijyu Theater,JP,Japanese
