nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_writers
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0083922,tt0060827,tt0050986,tt0050976",nm0000005
nm0000019,Federico Fellini,1920,1993,"writer,director,assistant_director","tt0053779,tt0056801,tt0050783,tt0071129",nm0000019
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0019421,tt0017925,tt0016332,tt0015324",nm0000036
nm0000040,Stanley Kubrick,1928,1999,"writer,director,producer","tt0120663,tt0062622,tt0072684,tt0066921",nm0000040
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0051808,tt0047478,tt0089881,tt0080979",nm0000041
nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0053198,tt0055032,tt0070460,tt0075860",nm0000076
nm0000080,Orson Welles,1915,1985,"actor,director,writer","tt0033467,tt0057427,tt0052311,tt0040525",nm0000080
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0085959,tt0071853,tt0063929,tt0095159",nm0000092
nm0000100,Rowan Atkinson,1955,\N,"actor,writer,producer","tt0118689,tt1634122,tt0274166,tt0110357",nm0000100
nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt2872732,tt0119116,tt0110413,tt0100263",nm0000108
nm0000116,James Cameron,1954,\N,"writer,producer,director","tt0499549,tt0120338,tt0103064,tt0090605",nm0000116
nm0000118,John Carpenter,1948,\N,"soundtrack,writer,composer","tt0080749,tt0096256,tt0077651,tt0082340",nm0000118
nm0000122,Charles Chaplin,1889,1977,"writer,soundtrack,actor","tt0032553,tt0044837,tt0021749,tt0027977",nm0000122
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1193138,tt1124035,tt0465538,tt0433383",nm0000123
nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0105121,tt0117571,tt0111686",nm0000127
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0381681,tt0112471,tt0139654,tt2209418",nm0000160
nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0111161,tt0091499,tt0083767,tt0324864",nm0000175
nm0000180,David Lean,1908,1991,"editor,director,writer","tt0050212,tt0037558,tt0059113,tt0056172",nm0000180
nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0069704,tt0076759,tt0082971,tt0066434",nm0000184
