imdb_id,tconst,directors,writers
tt1411697,tt1411697,nm0680846,"nm0563301,nm0035905,nm0680846,nm0524190,nm0601859"
tt1196141,tt1196141,nm0294457,"nm0066851,nm0276882,nm0007091,nm0431817,nm2732149"
tt1119646,tt1119646,nm0680846,"nm0524190,nm0601859"
tt0105151,tt0105151,nm0000265,nm0866062
tt1016301,tt1016301,"nm1618276,nm1924019","nm1618276,nm1924019"
tt0215750,tt0215750,nm0000269,"nm0000269,nm0323708"
tt0154420,tt0154420,nm0899121,"nm0899121,nm0750000"
tt0113277,tt0113277,nm0000520,nm0000520
tt4846232,tt4846232,"nm1509478,nm1343394","nm2563482,nm1343394"
tt6902676,tt6902676,nm3950520,nm3950520
tt7888964,tt7888964,nm5820154,nm4401003
tt11655202,tt11655202,nm0421314,"nm0421314,nm1064048"
tt8980602,tt8980602,nm2530291,nm2530291
tt1022603,tt1022603,nm1989536,"nm2354099,nm2352210"
tt0263488,tt0263488,nm0759207,nm0759207
tt0093822,tt0093822,"nm0001054,nm0001053","nm0001053,nm0001054"
tt2557490,tt2557490,nm0532235,"nm0532235,nm1273148,nm1273397"
tt2361509,tt2361509,nm0583600,nm0583600
tt1937390,tt1937390,nm0001885,nm0001885
tt4550098,tt4550098,nm1053530,"nm1053530,nm7216022"
tt6643972,tt6643972,nm0425364,"nm0639908,nm3957631,nm1829811"
tt6499752,tt6499752,nm1191481,nm1191481
tt10919380,tt10919380,nm0484907,"nm3208182,nm0484907"
tt9770150,tt9770150,nm2125482,"nm2125482,nm9572798"
tt12361974,tt12361974,nm0811583,"nm0796950,nm0795975,nm0811583,nm0006516,nm3263825,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158"
tt1058017,tt1058017,"nm0315041,nm2816668","nm0315041,nm2816668"
tt0084335,tt0084335,nm0002020,"nm0002020,nm0829329,nm0369564,nm0629615"
tt0480669,tt0480669,nm1443023,nm1443023
tt0300140,tt0300140,nm0600546,nm0600546
tt0455967,tt0455967,nm0858525,nm0523094
tt2194499,tt2194499,nm0193485,nm0193485
tt3612616,tt3612616,nm0230859,nm0230859
tt4972582,tt4972582,nm0796117,nm0796117
tt2948372,tt2948372,"nm0230032,nm5358492","nm0230032,nm0428873,nm5358492"
tt6803046,tt6803046,nm9451696,"nm9451696,nm10508535"
tt10288566,tt10288566,nm0899121,"nm0899121,nm2105585"
tt9893250,tt9893250,nm2128335,nm2128335
tt1764234,tt1764234,nm0231596,"nm0231596,nm0383389"
tt0066919,tt0066919,nm0677880,"nm0677880,nm0685316"
tt1457767,tt1457767,nm1490123,"nm0370937,nm0370928"
tt3065204,tt3065204,nm1490123,"nm0370937,nm0370928,nm1490123,nm0424901"
tt5688932,tt5688932,nm1108556,nm1108556
tt5363618,tt5363618,nm2942187,"nm2942187,nm3473150,nm0161834"
tt8946378,tt8946378,nm0426059,nm0426059
tt9316022,tt9316022,nm2333129,"nm3530955,nm2333129"
tt1051906,tt1051906,nm1191481,"nm1191481,nm0920229"
tt7504726,tt7504726,nm0761498,"nm0338169,nm0518711,nm10950558"
tt6723592,tt6723592,nm0634240,nm0634240
tt11464826,tt11464826,nm2341611,"nm7364327,nm2420356,nm2341611"
tt0070047,tt0070047,nm0001243,nm0087861
tt0087538,tt0087538,nm0000814,nm0436543
tt0082317,tt0082317,nm0386706,"nm0345427,nm0386706"
tt4160708,tt4160708,nm1793079,"nm1793079,nm2140186"
tt3631112,tt3631112,nm0853238,"nm0933379,nm6391502"
tt0491175,tt0491175,nm0000123,"nm0001054,nm0001053,nm0000123,nm0381416"
tt5962210,tt5962210,nm0818485,"nm2434358,nm0818485"
tt2762506,tt2762506,"nm2289860,nm2207625","nm2207625,nm2289860"
tt6644200,tt6644200,nm1024677,"nm1456816,nm1399714,nm1024677"
tt6857112,tt6857112,nm1443502,nm1443502
tt8244784,tt8244784,nm0957505,"nm7226510,nm0511541"
tt8772262,tt8772262,nm4170048,nm4170048
tt13143964,tt13143964,nm0938471,"nm0056187,nm0385630,nm2255631,nm0063165,nm1106214,nm0563243,nm2773070,nm1745272,nm4988577"
tt0377092,tt0377092,nm0914132,"nm1577281,nm0275486"
tt0133189,tt0133189,nm0580669,nm0580669
tt0147800,tt0147800,nm0432627,"nm0527581,nm0809006,nm0000636"
tt0361862,tt0361862,nm0026442,nm0466925
tt0414387,tt0414387,nm0942504,"nm0595738,nm0000807,nm0000668"
tt0780571,tt0780571,nm0262595,"nm0262595,nm0317279"
tt0243155,tt0243155,nm0536632,"nm0276144,nm0203577,nm0193485"
tt0120601,tt0120601,nm0005069,nm0442109
tt1659337,tt1659337,nm0154716,nm0154716
tt7958736,tt7958736,nm0853238,nm3398282
tt11079148,tt11079148,"nm1602528,nm4958428","nm3309878,nm0022688,nm0796950,nm0795975,nm0004170,nm0277730,nm0551376,nm0456158,nm0600872,nm1449331,nm1451513,nm1393443,nm4521812,nm0938379,nm1303925,nm0227704,nm0863622,nm4587620,nm1259714,nm0918083,nm0942951,nm1189346,nm2752881"
tt11024272,tt11024272,nm0629334,"nm2356525,nm4632792,nm1843538,nm0629334,nm3929259"
tt0087995,tt0087995,nm0007182,nm0007182
tt0384793,tt0384793,nm0684336,"nm0177836,nm0171651,nm0991423"
tt0112697,tt0112697,nm0002132,nm0002132
tt0289043,tt0289043,nm0000965,nm0307497
tt2004420,tt2004420,nm0831557,"nm1157527,nm1895993"
tt4016934,tt4016934,nm0661791,"nm1258797,nm1941029,nm0661791"
tt3567288,tt3567288,nm0796117,nm0796117
tt4633694,tt4633694,"nm2130108,nm0709056,nm0745247","nm0520488,nm0745247"
tt1034415,tt1034415,nm0345174,"nm0000783,nm0630453,nm1738734"
tt4925292,tt4925292,nm1950086,nm1950086
tt5613484,tt5613484,nm1706767,nm1706767
tt1489887,tt1489887,nm1312575,"nm1054604,nm2873539,nm2573005,nm4199289"
tt7798634,tt7798634,"nm2366012,nm2419470","nm2361509,nm1459583"
tt2608732,tt2608732,nm5205122,\N
tt0328828,tt0328828,nm0245888,nm0381221
tt0486822,tt0486822,nm0142286,"nm0484907,nm0255296"
tt3289956,tt3289956,nm0004217,"nm1968372,nm3915456"
tt5895028,tt5895028,nm1148550,"nm2589786,nm1148550"
tt6333060,tt6333060,nm2406731,"nm2406731,nm0598531,nm3439150,nm8672233"
tt5308322,tt5308322,nm0484907,nm1245146
tt5826432,tt5826432,nm2618764,"nm2304786,nm2618764"
tt8155288,tt8155288,nm0484907,"nm0484907,nm1245146"
tt2584384,tt2584384,nm0169806,"nm9862836,nm0169806"
tt4736550,tt4736550,"nm5255757,nm0636675","nm5255757,nm2851010,nm13183582,nm1310430"
tt2382011,tt2382011,nm4775561,\N
tt0366551,tt0366551,nm0500444,"nm1375358,nm1376383"
tt0405422,tt0405422,nm0031976,"nm0031976,nm0136797"
tt0261392,tt0261392,nm0003620,nm0003620
tt0163651,tt0163651,"nm0919369,nm0919363",nm0381221
tt4044364,tt4044364,nm0688636,\N
tt2005151,tt2005151,nm0680846,"nm0157787,nm0680846,nm1429512,nm0493225"
tt5715874,tt5715874,nm0487166,"nm0487166,nm3328207"
tt3317234,tt3317234,nm1760830,"nm2981082,nm1760830,nm2796745,nm2981935"
tt7286456,tt7286456,nm0680846,"nm0680846,nm0798788,nm0004170,nm0277730,nm1047603"
tt7668870,tt7668870,nm3792134,"nm3792134,nm3539578"
tt8359848,tt8359848,nm0637615,nm0637615
tt8361028,tt8361028,nm3771823,"nm9807731,nm3771823,nm3561100"
tt8404614,tt8404614,nm0576987,nm0565026
tt0078446,tt0078446,"nm0004693,nm0001045","nm0001045,nm0001507"
tt0058006,tt0058006,nm0733790,"nm0510623,nm0733790,nm0811689"
tt2428170,tt2428170,nm2674307,"nm2674307,nm0243233"
tt4154796,tt4154796,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt1878870,tt1878870,nm2609807,nm2609807
tt5649144,tt5649144,nm0048918,"nm0048918,nm2022341"
tt5112578,tt5112578,nm2023590,"nm2049126,nm2431095"
tt5726616,tt5726616,nm0345174,"nm0412465,nm6056595"
tt2274648,tt2274648,nm0551076,"nm1184676,nm0586005"
tt7784604,tt7784604,nm4170048,nm4170048
tt6751668,tt6751668,nm0094435,"nm0094435,nm8243301"
tt6016744,tt6016744,nm3525467,"nm3525467,nm9237202,nm0054862,nm6682793,nm1590700,nm3319085,nm8685858"
tt2527336,tt2527336,nm0426059,"nm0426059,nm0000184"
tt2494362,tt2494362,nm0951975,nm0951975
tt4154756,tt4154756,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt4649466,tt4649466,nm0891216,"nm0963359,nm0891216,nm2092839,nm1733301"
tt1396484,tt1396484,nm0615592,"nm1286060,nm1560977,nm2477891,nm0000175"
tt5027774,tt5027774,nm1732981,nm1732981
tt5013056,tt5013056,nm0634240,nm0634240
tt5463162,tt5463162,nm0500610,"nm1014201,nm1116660,nm0005351,nm0509580,nm1436760"
tt5147214,tt5147214,"nm3125415,nm3464186",nm3464186
tt4225622,tt4225622,nm0629334,nm3929259
tt6293516,tt6293516,nm1179870,"nm0093252,nm1805350"
tt6116856,tt6116856,nm3464186,nm3464186
tt7349662,tt7349662,nm0000490,"nm4478735,nm5161275,nm0932551,nm0000490,nm9259302"
tt0053772,tt0053772,nm0000005,"nm0051923,nm0000005"
tt1598778,tt1598778,nm0001752,nm1994243
tt0106341,tt0106341,nm0208854,nm0208854
tt0120623,tt0120623,"nm0005124,nm0004056","nm0005124,nm0004056,nm0710020,nm0568490,nm0789624"
tt0399201,tt0399201,nm0000881,"nm1047021,nm0476064,nm0649460"
