imdb_id,Name,tconst,directors,writers,_merge
,The Confession,,,,left_only
,50/50,,,,left_only
,Distant,,,,left_only
,Mirror,,,,left_only
,Nostalgia,,,,left_only
,Stalker,,,,left_only
,Don't F**k with Cats: Hunting an Internet Killer,,,,left_only
,Marighella,,,,left_only
,Strike,,,,left_only
,Squid Game,,,,left_only
,Khaite FW21,,,,left_only
,Perfumed Nightmare,,,,left_only
,The Haunting of Hill House,,,,left_only
,Face to Face,,,,left_only
,Offering,,,,left_only
,The Office,,,,left_only
,V/H/S/2,,,,left_only
,Hood Movie: Is the City One Only?,,,,left_only
,Rebels of the Neon God,,,,left_only
,"Quo Vadis, Aida?",,,,left_only
,Arsenal,,,,left_only
,Can Dialectics Break Bricks?,,,,left_only
,The Story of Film: An Odyssey,,,,left_only
,Destiny,,,,left_only
None,Raw,,,,left_only
None,Damnation,,,,left_only
