imdb_id,tconst,averageRating,numVotes
tt1411697,tt1411697,6.4,500429
tt1196141,tt1196141,6.2,51753
tt1119646,tt1119646,7.7,783473
tt0105151,tt0105151,7.5,61193
tt1016301,tt1016301,6.6,21719
tt0215750,tt0215750,7.6,263219
tt0154420,tt0154420,8.1,87513
tt0113277,tt0113277,8.3,652270
tt4846232,tt4846232,7.3,124279
tt6902676,tt6902676,6.3,62012
tt7888964,tt7888964,7.4,247427
tt11655202,tt11655202,7.5,50659
tt8980602,tt8980602,7.0,19135
tt1022603,tt1022603,7.7,515182
tt0263488,tt0263488,6.2,130481
tt0093822,tt0093822,7.3,140246
tt2557490,tt2557490,6.1,189852
tt2361509,tt2361509,7.1,252723
tt1937390,tt1937390,6.9,124907
tt4550098,tt4550098,7.5,279460
tt6643972,tt6643972,5.6,11575
tt6499752,tt6499752,7.5,186260
tt10919380,tt10919380,6.3,58595
tt9770150,tt9770150,7.3,160357
tt12361974,tt12361974,8.0,394712
tt1058017,tt1058017,6.3,141954
tt0084335,tt0084335,7.7,21748
tt0480669,tt0480669,7.1,64476
tt0300140,tt0300140,7.8,46056
tt0455967,tt0455967,5.7,84509
tt2194499,tt2194499,7.8,349646
tt3612616,tt3612616,8.0,57398
tt4972582,tt4972582,7.3,495743
tt2948372,tt2948372,8.0,326812
tt6803046,tt6803046,6.7,39830
tt10288566,tt10288566,7.7,156013
tt9893250,tt9893250,6.3,132890
tt1764234,tt1764234,6.2,145322
tt0066919,tt0066919,7.6,3522
tt1457767,tt1457767,7.5,507836
tt3065204,tt3065204,7.3,271132
tt5688932,tt5688932,6.9,80014
tt5363618,tt5363618,7.7,127540
tt8946378,tt8946378,7.9,619862
tt9316022,tt9316022,7.9,4304
tt1051906,tt1051906,7.1,227944
tt7504726,tt7504726,6.7,49533
tt6723592,tt6723592,7.3,498117
tt11464826,tt11464826,7.6,82841
tt0070047,tt0070047,8.1,407316
tt0087538,tt0087538,7.3,226436
tt0082317,tt0082317,8.2,1572
tt4160708,tt4160708,7.1,275219
tt3631112,tt3631112,6.5,187870
tt0491175,tt0491175,5.7,44662
tt5962210,tt5962210,6.6,42570
tt2762506,tt2762506,7.3,27718
tt6644200,tt6644200,7.5,525964
tt6857112,tt6857112,6.8,297414
tt8244784,tt8244784,6.5,114821
tt8772262,tt8772262,7.1,317938
tt13143964,tt13143964,6.6,141004
tt0377092,tt0377092,7.1,384375
tt0133189,tt0133189,7.4,30274
tt0147800,tt0147800,7.3,342574
tt0361862,tt0361862,7.7,390674
tt0414387,tt0414387,7.8,296413
tt0780571,tt0780571,7.3,151298
tt0243155,tt0243155,6.8,244974
tt0120601,tt0120601,7.8,336097
tt1659337,tt1659337,8.0,510946
tt7958736,tt7958736,5.6,53832
tt11079148,tt11079148,7.7,23234
tt11024272,tt11024272,5.8,40725
tt0087995,tt0087995,6.9,38010
tt0384793,tt0384793,6.4,133308
tt0112697,tt0112697,6.9,219043
tt0289043,tt0289043,7.5,415145
tt2004420,tt2004420,6.3,311526
tt4016934,tt4016934,8.1,146956
tt3567288,tt3567288,6.2,134976
tt4633694,tt4633694,8.4,521879
tt1034415,tt1034415,6.7,78801
tt4925292,tt4925292,7.4,290068
tt5613484,tt5613484,7.3,65829
tt1489887,tt1489887,7.1,119353
tt7798634,tt7798634,6.8,151414
tt2608732,tt2608732,7.4,13745
tt0328828,tt0328828,6.3,207330
tt0486822,tt0486822,6.8,236520
tt3289956,tt3289956,6.8,119339
tt5895028,tt5895028,8.2,35748
tt6333060,tt6333060,7.9,50385
tt5308322,tt5308322,6.6,143045
tt5826432,tt5826432,6.0,2901
tt8155288,tt8155288,6.2,75148
tt2584384,tt2584384,7.9,386093
tt4736550,tt4736550,7.0,23798
tt2382011,tt2382011,6.2,26
tt0366551,tt0366551,7.0,197036
tt0405422,tt0405422,7.1,437535
tt0261392,tt0261392,6.8,155818
tt0163651,tt0163651,7.0,407567
tt4044364,tt4044364,8.0,55918
tt2005151,tt2005151,7.1,220098
tt5715874,tt5715874,7.0,154952
tt3317234,tt3317234,5.4,30782
tt7286456,tt7286456,8.4,1262509
tt7668870,tt7668870,7.6,163064
tt8359848,tt8359848,6.9,69004
tt8361028,tt8361028,5.9,32494
tt8404614,tt8404614,7.6,123991
tt0078446,tt0078446,6.9,38870
tt0058006,tt0058006,7.2,4807
tt2428170,tt2428170,6.3,56660
tt4154796,tt4154796,8.4,1115358
tt1878870,tt1878870,7.3,127189
tt5649144,tt5649144,7.6,115055
tt5112578,tt5112578,6.6,23662
tt5726616,tt5726616,7.8,271447
tt2274648,tt2274648,5.2,90944
tt7784604,tt7784604,7.3,313806
tt6751668,tt6751668,8.5,789305
tt6016744,tt6016744,7.3,15050
tt2527336,tt2527336,6.9,629442
tt2494362,tt2494362,7.1,102736
tt4154756,tt4154756,8.4,1068346
tt4649466,tt4649466,6.7,327687
tt1396484,tt1396484,7.3,545221
tt5027774,tt5027774,8.1,504318
tt5013056,tt5013056,7.8,653978
tt5463162,tt5463162,7.7,578567
tt5147214,tt5147214,6.3,15027
tt4225622,tt4225622,6.3,93990
tt6293516,tt6293516,7.9,4715
tt6116856,tt6116856,6.9,26441
tt7349662,tt7349662,7.5,263683
tt0053772,tt0053772,7.1,4235
tt1598778,tt1598778,6.8,304198
tt0106341,tt0106341,7.3,14124
tt0120623,tt0120623,7.2,293519
tt0399201,tt0399201,6.8,317034
tt0993846,tt0993846,8.2,1394013
tt2368749,tt2368749,7.1,6682
tt1667355,tt1667355,6.5,14198
tt1605717,tt1605717,6.9,79517
tt2763304,tt2763304,7.2,124863
tt3890160,tt3890160,7.6,534377
tt0120263,tt0120263,7.5,19258
tt0118789,tt0118789,7.4,54672
tt0113568,tt0113568,7.9,143596
tt0243017,tt0243017,7.7,64559
tt0063678,tt0063678,7.0,13948
tt0068361,tt0068361,7.8,43438
tt1736633,tt1736633,7.6,25607
tt1235841,tt1235841,7.5,15184
tt2103217,tt2103217,6.1,38068
tt3315342,tt3315342,8.1,758403
tt5247022,tt5247022,7.3,82212
tt4714568,tt4714568,7.0,12708
tt5052448,tt5052448,7.7,603436
tt0091670,tt0091670,7.9,28582
tt0330243,tt0330243,8.1,10580
tt0112913,tt0112913,7.6,40439
tt0478304,tt0478304,6.8,177731
tt0071615,tt0071615,7.8,43583
tt0118749,tt0118749,7.9,266286
tt2301592,tt2301592,7.5,9000
tt3203606,tt3203606,7.4,81835
tt3783958,tt3783958,8.0,583856
tt4285496,tt4285496,7.8,23130
tt4908644,tt4908644,8.3,19242
