nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_writers
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0083922,tt0060827,tt0050986,tt0050976",nm0000005
nm0000019,Federico Fellini,1920,1993,"writer,director,assistant_director","tt0071129,tt0056801,tt0053779,tt0050783",nm0000019
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0017925,tt0019421,tt0016332",nm0000036
nm0000040,Stanley Kubrick,1928,1999,"writer,director,producer","tt0072684,tt0120663,tt0066921,tt0062622",nm0000040
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0051808,tt0047478,tt0089881,tt0080979",nm0000041
nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0070460,tt0075860,tt0055032,tt0053198",nm0000076
nm0000080,Orson Welles,1915,1985,"actor,director,writer","tt0033467,tt0040525,tt0057427,tt0052311",nm0000080
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0071853,tt0085959,tt0063929,tt0095159",nm0000092
nm0000100,Rowan Atkinson,1955,\N,"actor,writer,producer","tt1634122,tt0274166,tt0118689,tt0110357",nm0000100
nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt2872732,tt0110413,tt0100263,tt0119116",nm0000108
nm0000116,James Cameron,1954,\N,"writer,producer,director","tt0120338,tt0090605,tt0103064,tt0499549",nm0000116
nm0000118,John Carpenter,1948,\N,"soundtrack,writer,composer","tt0080749,tt0082340,tt0077651,tt0096256",nm0000118
nm0000122,Charles Chaplin,1889,1977,"writer,soundtrack,actor","tt0027977,tt0021749,tt0032553,tt0044837",nm0000122
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1124035,tt0465538,tt1193138,tt0433383",nm0000123
nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121",nm0000127
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0139654,tt0381681,tt2209418,tt0112471",nm0000160
nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0111161,tt0091499,tt0083767,tt0324864",nm0000175
nm0000180,David Lean,1908,1991,"editor,director,writer","tt0050212,tt0056172,tt0059113,tt0037558",nm0000180
nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0076759,tt0066434,tt0069704,tt0082971",nm0000184
nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0098936,tt0460829,tt0166924,tt0105665",nm0000186
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0811138,tt0145660,tt0295178,tt0118655",nm0000196
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0106226,tt0099685,tt0070379,tt0075314",nm0000217
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0107144,tt0369179,tt0094291,tt0108333",nm0000221
nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0108052,tt0082971,tt0120815,tt0083866",nm0000229
nm0000230,Sylvester Stallone,1946,\N,"actor,writer,producer","tt0089927,tt0075148,tt3076658,tt0084602",nm0000230
nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0096969,tt0102138,tt0110632,tt0091763",nm0000231
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt7131622,tt0105236,tt0110912,tt0116367",nm0000233
nm0000235,Uma Thurman,1970,\N,"actress,soundtrack,producer","tt0110912,tt0266697,tt0378194,tt0118688",nm0000235
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer","tt0101764,tt0097659,tt0119013,tt1130988",nm0000241
nm0000247,John Woo,1946,\N,"director,producer,writer","tt0104684,tt0425637,tt0119094,tt0092263",nm0000247
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt2120120,tt0181852,tt1596350,tt0430922",nm0000251
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt0840361,tt0119217,tt1024648,tt2267998",nm0000255
nm0000264,Pedro Almodóvar,1949,\N,"writer,director,soundtrack","tt0287467,tt0095675,tt0101026,tt1189073",nm0000264
nm0000265,Robert Altman,1925,2006,"director,producer,writer","tt0108122,tt0073440,tt0105151,tt0280707",nm0000265
nm0000269,Jean-Jacques Annaud,1943,\N,"director,producer,writer","tt0120102,tt2909116,tt0091605,tt0215750",nm0000269
nm0000320,Luis Buñuel,1900,1983,"writer,director,actor","tt0056732,tt0042804,tt0068361,tt0061395",nm0000320
